Condition,Context,Split,interpersonal_mean,interpersonal_sd,informational_mean,informational_sd,accept_mean,accept_sd
High-High,collaborative,5:5,5.0,0.0,5.0,0.0,1.0,0.0
High-High,collaborative,6:4,5.0,0.0,4.0,0.0,0.6,0.5477225575051661
High-High,collaborative,7:3,4.8,0.44721359549995804,4.0,0.0,0.0,0.0
High-High,competitive,5:5,5.0,0.0,5.0,0.0,1.0,0.0
High-High,competitive,6:4,5.0,0.0,4.2,0.44721359549995804,0.0,0.0
High-High,competitive,7:3,5.0,0.0,4.0,0.0,0.0,0.0
High-Low,collaborative,5:5,5.0,0.0,2.4,0.5477225575051662,1.0,0.0
High-Low,collaborative,6:4,4.4,0.5477225575051662,1.0,0.0,0.0,0.0
High-Low,collaborative,7:3,4.4,0.5477225575051663,1.0,0.0,0.0,0.0
High-Low,competitive,5:5,4.8,0.4472135954999579,2.6,0.8944271909999159,1.0,0.0
High-Low,competitive,6:4,5.0,0.0,1.0,0.0,0.0,0.0
High-Low,competitive,7:3,4.2,0.44721359549995787,1.0,0.0,0.0,0.0
Low-High,collaborative,5:5,2.6,0.5477225575051661,4.0,0.0,0.6,0.5477225575051661
Low-High,collaborative,6:4,2.2,0.4472135954999579,3.8,0.44721359549995787,0.0,0.0
Low-High,collaborative,7:3,2.2,0.4472135954999579,4.0,0.0,0.0,0.0
Low-High,competitive,5:5,2.8,0.4472135954999579,3.8,0.4472135954999579,0.6,0.5477225575051661
Low-High,competitive,6:4,2.4,0.5477225575051661,3.8,0.44721359549995787,0.0,0.0
Low-High,competitive,7:3,2.4,0.5477225575051661,3.8,0.447213595499958,0.0,0.0
Low-Low,collaborative,5:5,2.2,0.447213595499958,1.6,0.8944271909999159,1.0,0.0
Low-Low,collaborative,6:4,1.8,0.4472135954999579,1.0,0.0,0.0,0.0
Low-Low,collaborative,7:3,1.8,0.8366600265340756,1.0,0.0,0.0,0.0
Low-Low,competitive,5:5,2.2,0.447213595499958,1.8,0.4472135954999579,0.4,0.5477225575051661
Low-Low,competitive,6:4,2.0,0.0,1.0,0.0,0.0,0.0
Low-Low,competitive,7:3,1.8,0.4472135954999579,1.0,0.0,0.0,0.0
